siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
R09-BLW1_CHIL,64,60,63,63,55,59,60,57,53,53,56,50,47,50,52,53
R09-CTG0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R09-LIM0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R09-SMI1_CHIL,35,34,35,37,29,31,27,31,20,18,21,20,19,19,17,19
R10-FRM1_CHIL,7,6,6,5,5,5,6,5,4,5,4,4,2,3,4,4
R10-FRM2_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10-WCP0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10-WDW0_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02-BNS1_CHIL,87,81,87,84,68,75,74,72,67,64,66,65,63,58,62,67
S02-BRI1_CHIL,95,89,91,90,73,88,86,80,66,68,72,71,74,70,78,82
S02-COP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02-MCP1_CHIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02-PIP1_CHIL,57,49,53,52,41,45,44,40,32,35,39,36,38,40,43,43
S02-PLP1_CHIL,178,158,183,179,147,156,150,150,115,129,126,122,116,119,133,140
S02-TNW1_CHIL,57,51,57,58,46,53,49,51,34,39,37,41,32,28,38,33
S03-JKP2_CHIL,43,41,46,44,37,39,42,44,35,33,39,37,36,32,40,40
S03-LCP1_CHIL,44,41,46,45,31,38,36,36,32,28,30,32,32,33,35,34
S03-PSP1_CHIL,120,100,122,118,91,97,103,98,81,84,91,77,85,87,93,97
S03-VIP1_CHIL,129,121,131,128,102,114,107,111,83,89,89,82,98,95,98,102
S03-WAP1_CHIL,150,134,153,145,117,127,120,117,103,110,97,107,114,113,110,120
S04-HAP1_CHIL,73,69,77,74,58,63,64,62,58,60,63,61,59,61,68,67
S04-OTW1_CHIL,63,57,56,57,59,54,57,52,53,48,53,51,51,44,51,53
S04-SSP1_CHIL,72,62,72,66,58,63,57,59,47,46,52,49,49,48,56,57
S05-LNC1_CHIL,42,36,46,40,34,34,40,40,30,33,30,28,29,32,29,36
S05-RES1_CHIL,19,18,17,16,13,14,15,17,12,10,11,11,8,9,10,13
