siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
NACA_NCAP-DC-SHE1,0,NA,NA,NA,NA,NA,0,14,15,37,29,319,24,27,14,0
NACA_NCAP-DC-SOV1,0,NA,NA,NA,NA,NA,0,0,0,1,4,0,0,0,0,0
NACA_NCAP-MD-BSP1,0,NA,NA,NA,NA,NA,0,6,0,1,8,38,2,4,0,30
NACA_NCAP-MD-CCC1,0,NA,NA,NA,NA,NA,2,7,0,16,46,2,0,7,0,26
NACA_NCAP-MD-CRG1,0,NA,NA,NA,NA,NA,0,6,12,0,15,5,7,37,0,13
NACA_NCAP-MD-CVH1,0,NA,NA,NA,NA,NA,0,9,7,3,6,3,1,3,1,1
NACA_NCAP-MD-FFP1,0,NA,NA,NA,NA,NA,0,16,14,7,29,22,14,16,3,11
NACA_NCAP-MD-GCP1,0,NA,NA,NA,NA,NA,0,7,9,3,4,8,1,3,38,27
NACA_NCAP-MD-HCR1,0,NA,NA,NA,NA,NA,0,0,0,2,4,4,9,5,0,35
NACA_NCAP-MD-IST1,0,NA,NA,NA,NA,NA,0,16,0,12,33,6,22,0,15,22
NACA_NCAP-MD-KCP1,0,NA,NA,NA,NA,NA,0,0,23,21,7,38,29,30,28,44
NACA_NCAP-MD-LFP1,0,NA,NA,NA,NA,NA,7,15,4,3,2,8,1,4,4,9
NACA_NCAP-MD-LFP2,0,NA,NA,NA,NA,NA,9,54,12,23,14,9,8,2,6,4
NACA_NCAP-MD-LFP3,0,NA,NA,NA,NA,NA,0,6,7,4,16,9,26,16,14,9
NACA_NCAP-MD-MRC1,0,NA,NA,NA,NA,NA,0,7,6,3,2,22,6,10,6,46
NACA_NCAP-MD-NWP1,0,NA,NA,NA,NA,NA,0,13,20,19,0,5,0,19,4,4
NACA_NCAP-MD-PBP1,0,NA,NA,NA,NA,NA,0,8,16,12,0,16,36,2,21,18
NACA_NCAP-MD-PGM1,0,NA,NA,NA,NA,NA,0,17,16,15,4,4,13,6,0,11
NACA_NCAP-MD-RCP1,0,NA,NA,NA,NA,NA,0,12,45,23,0,42,30,8,122,67
NACA_NCAP-MD-RCS2,0,NA,NA,NA,NA,NA,0,49,29,59,30,98,42,43,0,0
NACA_NCAP-MD-SCG1,0,NA,NA,NA,NA,NA,7,21,28,6,16,17,22,0,15,2
NACA_NCAP-MD-SLC1,0,NA,NA,NA,NA,NA,0,25,25,12,8,41,0,47,0,2
NACA_NCAP-MD-SLP1,0,NA,NA,NA,NA,NA,0,4,3,17,7,49,23,7,0,36
NACA_NCAP-MD-SYC1,0,NA,NA,NA,NA,NA,1,0,0,2,2,13,1,1,3,1
NACA_NCAP-MD-TCC1,0,NA,NA,NA,NA,NA,0,14,10,5,3,4,9,9,0,25
NACA_NCAP-MD-TPB1,0,NA,NA,NA,NA,NA,0,38,0,28,78,37,20,33,0,5
NACA_NCAP-MD-WMR1,0,NA,NA,NA,NA,NA,0,11,6,10,4,28,2,6,0,3
